id,course
645,Thử nghiệm và bàn giao
646,Bảo trì chi tiết và cấu kiện
647,Lập trình trên máy và thiết bị
648,Kiểm tra
649,"Quá trình kinh doanh và hệ thống bảo đảm 
chất lượng trong lĩnh vực sử dụng 1"
650,Thực tập tại công ty 
651,Sản xuất các chi tiết và cấu kiện 2
652,"Quá trình kinh doanh và hệ thống bảo đảm 
chất lượng trong lĩnh vực sử dụng 2"
653,Bảo trì các thiết bị vận hành
654,Sản xuất chế tạo cấu kiện bằng máy móc
655,Đo và kiểm tra 1
656,Gia công chi tiết bằng máy
657,Bảo dưỡng các hệ thống kỹ thuật
658,Chế tạo các chi tiết bằng tôn tấm
659,Chế tạo các chi tiết bằng phôi liệu định hình
660,Chế tạo các chi tiết bằng gia công biến dạng
661,Tháo và lắp các cụm chi tiết trong nhà xưởng
662,Chế tạo các kết cấu thép và kim loại
663,"Chế tạo các loại cửa, cổng, hàng rào song sắt"
664,"Chế tạo các loại cửa sổ, kết cấu mặt tiền và khung lắp kính"
665,Chế tạo các loại cầu thang và lang can
666,Bảo trì các hệ thống kết cấu thép và kết cấu kim loại khác
667,Giao tiếp kỹ thuật và giao tiếp doanh nghiệp 1
668,Lập kế hoạch và điều khiển tiến trình làm việc; kiểm tra và đánh giá kết quả công việc 1
669,Quản lý chất lượng 1
670,Đo và kiểm tra 2
671,Nối ghép 1
672,Gia công cắt gọt và biến dạng bằng tay
673,Gia công bằng máy 1
674,Bảo trì và bảo dưỡng các phương tiện sản xuất
675,Lập kế hoạch và điều khiển tiến trình làm việc; kiểm tra và đánh giá kết quả công việc 2
676,Giao tiếp kỹ thuật và giao tiếp doanh nghiệp 2
677,Đo và kiểm tra 3
678,Quản lý chất lượng 2
679,Nối ghép 2
680,"Hàn, cắt bằng nhiệt 1"
681,Gia công bằng máy 2
682,Gia công biến dạng bằng máy và bằng tay vật liệu tấm và vật liệu hình
683,Kỹ thuật điện
684,Xử lý và bảo vệ các  bề mặt
685,Vận chuyển các chi tiết và cụm chi tiết
686,Tháo và lắp các chi tiết và cụm chi tiết
687,"Giao tiếp doanh nghiệp, kỹ thuật và định hướng khách hàng"
688,Đo và kiểm tra 4
689,Nối ghép 3
690,"Lắp ráp và kiểm tra các linh kiện điện, khí nén và thủy lực"
691,Gia công bằng máy 3
692,Trang bị các vị trí làm việc trên công trường xây dựng
693,Chế tạo các kết cấu xây dựng bằng thép hoặc các kim loại khác
694,Chế tạo và bắt chặt các chi tiết và các thành phần trong xưởng xây dựng
